lang	worker	num_hits	quality	quality_syn	num_langs	goog
ga	1102	2	1.000	1.000	1	0.0
ga	1103	1	0.500	1.000	1	0.0
ga	1101	2	0.000	0.750	1	0.0
ga	274	3	0.500	0.833	many	0.4
ga	2100	10	0.850	0.900	1	0.0
ga	2104	1	0.000	0.000	many	0.0
ga	2860	219	0.696	0.813	0	0.0
ga	2863	28	0.696	0.732	0	0.5
ga	2866	2	0.500	0.500	1	0.2
ga	4088	32	0.562	0.766	0	0.677
ga	3861	26	0.712	0.788	0	0.627
ga	3233	1	1.000	1.000	0	0.0
ga	4519	1	0.500	0.500	1	0.0
ga	3108	13	0.577	0.615	0	0.4
ga	3234	4	0.875	0.875	1	0.0
ga	1193	42	0.679	0.821	1	0.0
ga	3434	3	0.500	0.833	0	0.5
ga	3189	57	0.702	0.807	1	0.5
ga	4259	4	0.625	0.750	1	0.0
ga	4258	3	0.167	0.333	0	0.3
ga	141	19	0.421	0.579	1	0.6
ga	1882	33	0.394	0.485	many	0.0
ga	4711	6	0.667	0.750	0	0.0
ga	4712	1	0.000	0.000	0	0.0
ga	4713	1	0.000	0.000	0	0.0
ga	2532	2	0.250	1.000	0	0.0
ga	2531	1	1.000	1.000	1	0.0
ga	2536	1	0.500	0.500	0	0.3
ga	2534	1	0.500	0.500	1	0.0
gl	3776	38	0.579	0.658	1	0.641
gl	4766	1	0.500	0.500	1	0.0
gl	984	434	0.611	0.833	0	0.601
gl	4763	186	0.523	0.628	0	0.0
gl	89	312	0.603	0.821	many	0.0
gl	3299	1	1.000	1.000	0	0.379
gl	1910	18	0.583	0.694	0	0.6
gl	4769	3	0.333	1.000	0	0.409
gl	3673	360	0.617	0.846	0	0.0
gl	4783	113	0.593	0.788	0	0.0
gl	1546	9	0.611	0.889	0	0.0
gl	4801	40	0.525	0.625	0	0.52
gl	4802	11	0.773	0.909	1	0.1
gl	4803	65	0.715	0.862	1	0.151
gl	1425	337	0.539	0.739	1	0.686
gl	4539	8	0.625	0.750	0	0.0
gl	4806	57	0.482	0.596	0	0.4
gl	4807	5	0.400	0.600	0	0.12
gl	4808	28	0.625	0.786	1	0.561
gl	4809	2	0.250	0.500	1	0.1
